,load,compressor,vp,fp
0,BANK-PIMA,bz2,7,0
1,BANK-PIMA,entropy,6,0
2,BANK-PIMA,gzip,7,0
3,BANK-PIMA,jp2_lossless,6,1
4,BANK-PIMA,png,6,0
5,BANK-PIMA,ppmd,7,0
6,BANK-PIMA,webp_lossless,4,1
7,BANK-PIMA,zlib,7,0
8,CANCER-PHON,bz2,5,0
9,CANCER-PHON,entropy,5,0
10,CANCER-PHON,gzip,5,0
11,CANCER-PHON,jp2_lossless,5,0
12,CANCER-PHON,png,6,0
13,CANCER-PHON,ppmd,5,0
14,CANCER-PHON,webp_lossless,4,0
15,CANCER-PHON,zlib,6,0
16,IONO-SOLAR,bz2,7,0
17,IONO-SOLAR,entropy,6,0
18,IONO-SOLAR,gzip,7,0
19,IONO-SOLAR,jp2_lossless,7,1
20,IONO-SOLAR,png,4,0
21,IONO-SOLAR,ppmd,6,0
22,IONO-SOLAR,webp_lossless,5,1
23,IONO-SOLAR,zlib,6,0
24,IRIS-HABER,bz2,6,0
25,IRIS-HABER,entropy,3,0
26,IRIS-HABER,gzip,7,0
27,IRIS-HABER,jp2_lossless,5,1
28,IRIS-HABER,png,4,0
29,IRIS-HABER,ppmd,6,0
30,IRIS-HABER,webp_lossless,5,0
31,IRIS-HABER,zlib,7,0
32,OIL-MAMMO,bz2,6,0
33,OIL-MAMMO,entropy,6,0
34,OIL-MAMMO,gzip,7,0
35,OIL-MAMMO,jp2_lossless,7,1
36,OIL-MAMMO,png,5,0
37,OIL-MAMMO,ppmd,6,0
38,OIL-MAMMO,webp_lossless,6,1
39,OIL-MAMMO,zlib,7,0
40,WINE-HEART,bz2,6,0
41,WINE-HEART,entropy,5,0
42,WINE-HEART,gzip,7,0
43,WINE-HEART,jp2_lossless,4,1
44,WINE-HEART,png,3,0
45,WINE-HEART,ppmd,6,0
46,WINE-HEART,webp_lossless,6,0
47,WINE-HEART,zlib,7,0
