,load,type,compressor,p_value,normal
0,IRIS-HABER,API,ZLIB,,False
1,IRIS-HABER,API,GZIP,,False
2,IRIS-HABER,API,BZ2,,False
3,IRIS-HABER,API,PPMD,,False
4,IRIS-HABER,API,WEBP,,False
5,IRIS-HABER,API,JP2,,False
6,IRIS-HABER,API,PNG,,False
7,IRIS-HABER,API,ENTROPY,,False
8,IRIS-HABER,LOGIC,ZLIB,,False
9,IRIS-HABER,LOGIC,GZIP,,False
10,IRIS-HABER,LOGIC,BZ2,,False
11,IRIS-HABER,LOGIC,PPMD,,False
12,IRIS-HABER,LOGIC,WEBP,,False
13,IRIS-HABER,LOGIC,JP2,,False
14,IRIS-HABER,LOGIC,PNG,,False
15,IRIS-HABER,LOGIC,ENTROPY,,False
16,IRIS-HABER,MEMORY,ZLIB,,False
17,IRIS-HABER,MEMORY,GZIP,,False
18,IRIS-HABER,MEMORY,BZ2,,False
19,IRIS-HABER,MEMORY,PPMD,,False
20,IRIS-HABER,MEMORY,WEBP,,False
21,IRIS-HABER,MEMORY,JP2,,False
22,IRIS-HABER,MEMORY,PNG,,False
23,IRIS-HABER,MEMORY,ENTROPY,,False
24,IRIS-HABER,ANOTHER-CONTROL,ZLIB,,False
25,IRIS-HABER,ANOTHER-CONTROL,GZIP,,False
26,IRIS-HABER,ANOTHER-CONTROL,BZ2,,False
27,IRIS-HABER,ANOTHER-CONTROL,PPMD,,False
28,IRIS-HABER,ANOTHER-CONTROL,WEBP,,False
29,IRIS-HABER,ANOTHER-CONTROL,JP2,,False
30,IRIS-HABER,ANOTHER-CONTROL,PNG,,False
31,IRIS-HABER,ANOTHER-CONTROL,ENTROPY,,False
32,IRIS-HABER,CONC,ZLIB,,False
33,IRIS-HABER,CONC,GZIP,,False
34,IRIS-HABER,CONC,BZ2,,False
35,IRIS-HABER,CONC,PPMD,,False
36,IRIS-HABER,CONC,WEBP,,False
37,IRIS-HABER,CONC,JP2,,False
38,IRIS-HABER,CONC,PNG,,False
39,IRIS-HABER,CONC,ENTROPY,,False
40,IRIS-HABER,PROCESS,ZLIB,,False
41,IRIS-HABER,PROCESS,GZIP,,False
42,IRIS-HABER,PROCESS,BZ2,,False
43,IRIS-HABER,PROCESS,PPMD,,False
44,IRIS-HABER,PROCESS,WEBP,,False
45,IRIS-HABER,PROCESS,JP2,,False
46,IRIS-HABER,PROCESS,PNG,,False
47,IRIS-HABER,PROCESS,ENTROPY,,False
48,IRIS-HABER,TRAIN,ZLIB,,False
49,IRIS-HABER,TRAIN,GZIP,,False
50,IRIS-HABER,TRAIN,BZ2,,False
51,IRIS-HABER,TRAIN,PPMD,,False
52,IRIS-HABER,TRAIN,WEBP,,False
53,IRIS-HABER,TRAIN,JP2,,False
54,IRIS-HABER,TRAIN,PNG,,False
55,IRIS-HABER,TRAIN,ENTROPY,,False
56,IRIS-HABER,MODEL,ZLIB,,False
57,IRIS-HABER,MODEL,GZIP,,False
58,IRIS-HABER,MODEL,BZ2,,False
59,IRIS-HABER,MODEL,PPMD,,False
60,IRIS-HABER,MODEL,WEBP,,False
61,IRIS-HABER,MODEL,JP2,,False
62,IRIS-HABER,MODEL,PNG,,False
63,IRIS-HABER,MODEL,ENTROPY,,False
64,CANCER-PHON,API,ZLIB,,False
65,CANCER-PHON,API,GZIP,,False
66,CANCER-PHON,API,BZ2,,False
67,CANCER-PHON,API,PPMD,,False
68,CANCER-PHON,API,WEBP,,False
69,CANCER-PHON,API,JP2,,False
70,CANCER-PHON,API,PNG,,False
71,CANCER-PHON,API,ENTROPY,,False
72,CANCER-PHON,LOGIC,ZLIB,,False
73,CANCER-PHON,LOGIC,GZIP,,False
74,CANCER-PHON,LOGIC,BZ2,,False
75,CANCER-PHON,LOGIC,PPMD,,False
76,CANCER-PHON,LOGIC,WEBP,,False
77,CANCER-PHON,LOGIC,JP2,,False
78,CANCER-PHON,LOGIC,PNG,,False
79,CANCER-PHON,LOGIC,ENTROPY,,False
80,CANCER-PHON,MEMORY,ZLIB,,False
81,CANCER-PHON,MEMORY,GZIP,,False
82,CANCER-PHON,MEMORY,BZ2,,False
83,CANCER-PHON,MEMORY,PPMD,,False
84,CANCER-PHON,MEMORY,WEBP,,False
85,CANCER-PHON,MEMORY,JP2,,False
86,CANCER-PHON,MEMORY,PNG,,False
87,CANCER-PHON,MEMORY,ENTROPY,,False
88,CANCER-PHON,ANOTHER-CONTROL,ZLIB,,False
89,CANCER-PHON,ANOTHER-CONTROL,GZIP,,False
90,CANCER-PHON,ANOTHER-CONTROL,BZ2,,False
91,CANCER-PHON,ANOTHER-CONTROL,PPMD,,False
92,CANCER-PHON,ANOTHER-CONTROL,WEBP,,False
93,CANCER-PHON,ANOTHER-CONTROL,JP2,,False
94,CANCER-PHON,ANOTHER-CONTROL,PNG,,False
95,CANCER-PHON,ANOTHER-CONTROL,ENTROPY,,False
96,CANCER-PHON,CONC,ZLIB,,False
97,CANCER-PHON,CONC,GZIP,,False
98,CANCER-PHON,CONC,BZ2,,False
99,CANCER-PHON,CONC,PPMD,,False
100,CANCER-PHON,CONC,WEBP,,False
101,CANCER-PHON,CONC,JP2,,False
102,CANCER-PHON,CONC,PNG,,False
