,compressor,load,VP,FN,VN,FP,accuracy,precision,recall,f1_score
47,ZLIB,WINE-HEART,7,0,1,0,1.0,1.0,1.0,1.0
45,ZLIB,IRIS-HABER,7,0,1,0,1.0,1.0,1.0,1.0
44,ZLIB,IONO-SOLAR,7,0,1,0,1.0,1.0,1.0,1.0
43,ZLIB,CANCER-PHON,6,1,1,0,0.9286,1.0,0.8571,0.9231
42,ZLIB,BANK-PIMA,7,0,1,0,1.0,1.0,1.0,1.0
46,ZLIB,OIL-MAMMO,7,0,1,0,1.0,1.0,1.0,1.0
30,PPMD,BANK-PIMA,7,0,1,0,1.0,1.0,1.0,1.0
31,PPMD,CANCER-PHON,7,0,1,0,1.0,1.0,1.0,1.0
32,PPMD,IONO-SOLAR,7,0,1,0,1.0,1.0,1.0,1.0
33,PPMD,IRIS-HABER,7,0,1,0,1.0,1.0,1.0,1.0
34,PPMD,OIL-MAMMO,7,0,1,0,1.0,1.0,1.0,1.0
35,PPMD,WINE-HEART,7,0,1,0,1.0,1.0,1.0,1.0
12,GZIP,BANK-PIMA,7,0,1,0,1.0,1.0,1.0,1.0
13,GZIP,CANCER-PHON,6,1,1,0,0.9286,1.0,0.8571,0.9231
14,GZIP,IONO-SOLAR,7,0,1,0,1.0,1.0,1.0,1.0
15,GZIP,IRIS-HABER,7,0,1,0,1.0,1.0,1.0,1.0
16,GZIP,OIL-MAMMO,7,0,1,0,1.0,1.0,1.0,1.0
17,GZIP,WINE-HEART,7,0,1,0,1.0,1.0,1.0,1.0
0,BZ2,BANK-PIMA,7,0,1,0,1.0,1.0,1.0,1.0
1,BZ2,CANCER-PHON,7,0,1,0,1.0,1.0,1.0,1.0
2,BZ2,IONO-SOLAR,7,0,1,0,1.0,1.0,1.0,1.0
3,BZ2,IRIS-HABER,7,0,1,0,1.0,1.0,1.0,1.0
4,BZ2,OIL-MAMMO,7,0,1,0,1.0,1.0,1.0,1.0
5,BZ2,WINE-HEART,7,0,1,0,1.0,1.0,1.0,1.0
24,PNG,BANK-PIMA,6,1,1,0,0.9286,1.0,0.8571,0.9231
25,PNG,CANCER-PHON,7,0,1,0,1.0,1.0,1.0,1.0
26,PNG,IONO-SOLAR,6,1,0,1,0.4286,0.4615,0.8571,0.6
27,PNG,IRIS-HABER,7,0,1,0,1.0,1.0,1.0,1.0
28,PNG,OIL-MAMMO,6,1,1,0,0.9286,1.0,0.8571,0.9231
29,PNG,WINE-HEART,5,2,1,0,0.8571,1.0,0.7143,0.8333
19,JP2,CANCER-PHON,7,0,0,1,0.5,0.5,1.0,0.6667
18,JP2,BANK-PIMA,7,0,0,1,0.5,0.5,1.0,0.6667
23,JP2,WINE-HEART,7,0,0,1,0.5,0.5,1.0,0.6667
22,JP2,OIL-MAMMO,7,0,0,1,0.5,0.5,1.0,0.6667
21,JP2,IRIS-HABER,6,1,0,1,0.4286,0.4615,0.8571,0.6
20,JP2,IONO-SOLAR,7,0,0,1,0.5,0.5,1.0,0.6667
36,WEBP,BANK-PIMA,7,0,0,1,0.5,0.5,1.0,0.6667
37,WEBP,CANCER-PHON,5,2,1,0,0.8571,1.0,0.7143,0.8333
38,WEBP,IONO-SOLAR,6,1,0,1,0.4286,0.4615,0.8571,0.6
39,WEBP,IRIS-HABER,6,1,0,1,0.4286,0.4615,0.8571,0.6
40,WEBP,OIL-MAMMO,6,1,0,1,0.4286,0.4615,0.8571,0.6
41,WEBP,WINE-HEART,7,0,0,1,0.5,0.5,1.0,0.6667
9,ENTROPY,IRIS-HABER,6,1,1,0,0.9286,1.0,0.8571,0.9231
6,ENTROPY,BANK-PIMA,6,1,1,0,0.9286,1.0,0.8571,0.9231
10,ENTROPY,OIL-MAMMO,7,0,1,0,1.0,1.0,1.0,1.0
11,ENTROPY,WINE-HEART,7,0,1,0,1.0,1.0,1.0,1.0
8,ENTROPY,IONO-SOLAR,7,0,1,0,1.0,1.0,1.0,1.0
7,ENTROPY,CANCER-PHON,6,1,1,0,0.9286,1.0,0.8571,0.9231
